,nome,DURACAO,tempo,MODOPRIN,diferenca,diferenca_por,tempo_open
457,7868,40.0,14.6,bike,25.4,63.5,418.9
153,7869,5.0,6.416666666666667,bike,1.416666666666667,28.33333333333334,253.7
69,7870,10.0,3.783333333333333,bike,6.216666666666667,62.16666666666667,165.0
139,8092,10.0,5.95,bike,4.05,40.5,119.1
472,8093,20.0,15.275,bike,4.725,23.625,522.9
515,8094,20.0,16.8,bike,3.1999999999999993,15.999999999999998,587.5
572,8111,45.0,19.75,bike,25.25,56.111111111111114,654.5
585,8112,40.0,20.241666666666667,bike,19.758333333333333,49.395833333333336,658.7
237,8394,15.0,8.275,bike,6.725,44.83333333333333,636.4
218,8395,5.0,7.775,bike,2.7750000000000004,55.50000000000001,342.0
125,8396,10.0,5.45,bike,4.55,45.49999999999999,171.2
272,8397,15.0,9.108333333333334,bike,5.891666666666666,39.27777777777777,562.3
609,8901,25.0,21.766666666666666,bike,3.2333333333333343,12.933333333333339,917.3
447,8902,25.0,14.233333333333333,bike,10.766666666666667,43.06666666666667,979.5
417,9116,35.0,13.433333333333334,bike,21.566666666666666,61.61904761904762,970.3
530,9609,15.0,17.35,bike,2.3500000000000014,15.666666666666677,511.2
330,9610,15.0,10.65,bike,4.35,28.999999999999996,456.8
468,9904,15.0,15.133333333333333,bike,0.13333333333333286,0.8888888888888857,617.9
470,9905,15.0,15.166666666666666,bike,0.16666666666666607,1.1111111111111072,567.5
758,9973,35.0,37.516666666666666,bike,2.5166666666666657,7.190476190476187,2064.2
752,9974,50.0,36.55,bike,13.450000000000003,26.900000000000006,2060.9
49,10088,10.0,2.725,bike,7.275,72.75,100.8
77,10089,10.0,3.9416666666666664,bike,6.058333333333334,60.583333333333336,239.8
796,10833,30.0,47.94166666666666,bike,17.941666666666663,59.80555555555554,1344.6
768,10836,40.0,39.3,bike,0.7000000000000028,1.750000000000007,1231.5
650,11229,30.0,24.266666666666666,bike,5.733333333333334,19.111111111111114,1449.0
610,11230,45.0,21.85,bike,23.15,51.444444444444436,1497.1
547,11241,30.0,18.216666666666665,bike,11.783333333333335,39.277777777777786,1588.9
558,11242,50.0,18.916666666666668,bike,31.083333333333332,62.16666666666666,1651.9
145,11243,15.0,6.083333333333333,bike,8.916666666666668,59.44444444444446,413.0
519,11679,50.0,16.916666666666664,bike,33.083333333333336,66.16666666666667,1548.6
648,11680,75.0,23.841666666666665,bike,51.15833333333333,68.21111111111111,1942.2
368,11681,15.0,11.708333333333332,bike,3.291666666666668,21.944444444444454,615.3
679,12212,30.0,26.866666666666667,bike,3.133333333333333,10.444444444444443,1688.0
741,12215,30.0,33.78333333333333,bike,3.7833333333333314,12.611111111111104,1442.4
348,12304,20.0,10.916666666666666,bike,9.083333333333334,45.41666666666667,654.4
223,12307,20.0,7.883333333333334,bike,12.116666666666667,60.583333333333336,591.2
518,12326,30.0,16.9,bike,13.100000000000001,43.66666666666667,962.1
578,12329,30.0,19.983333333333334,bike,10.016666666666666,33.388888888888886,1037.4
448,12927,10.0,14.333333333333334,bike,4.333333333333334,43.33333333333334,430.5
341,12928,10.0,10.8,bike,0.8000000000000007,8.000000000000007,332.1
333,13514,20.0,10.7,bike,9.3,46.5,382.9
54,13515,5.0,2.9166666666666665,bike,2.0833333333333335,41.66666666666667,111.1
239,13516,10.0,8.316666666666666,bike,1.6833333333333336,16.833333333333336,271.9
240,13523,10.0,8.325,bike,1.6750000000000007,16.750000000000007,271.9
549,13559,25.0,18.383333333333333,bike,6.616666666666667,26.466666666666665,1027.8
501,13560,25.0,16.366666666666667,bike,8.633333333333333,34.53333333333333,1006.2
471,13631,50.0,15.25,bike,34.75,69.5,1271.2
443,13632,45.0,14.133333333333333,bike,30.866666666666667,68.5925925925926,1148.4
444,13637,50.0,14.175,bike,35.825,71.65,1271.2
571,13638,45.0,19.59166666666667,bike,25.40833333333333,56.46296296296296,1148.4
562,14481,90.0,19.133333333333333,bike,70.86666666666667,78.74074074074075,1400.3
516,14482,30.0,16.875,bike,13.125,43.75,1605.9
